City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Manakara,MG,80.35,broken clouds,-22.13,48.02,La Residence Manakara
572,Gizo,SB,85.35,light rain,-8.1,156.84,Imagination Island
574,Falam,MM,73.15,clear sky,22.92,93.68,Falang Government Guesthouse
578,Madimba,TZ,80.6,broken clouds,-10.4,40.33,
579,San Borja,BO,72.68,overcast clouds,-14.82,-66.85,
581,Sorong,ID,83.37,heavy intensity rain,-0.88,131.25,The Waigo Hotel
582,Maceio,BR,69.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
584,Kalmunai,LK,86.92,heavy intensity rain,7.42,81.82,VS Villa
585,Entre Rios,BR,67.28,few clouds,-11.94,-38.08,Pousada Porteira
586,Abadan,IR,69.8,moderate rain,30.34,48.3,Amir Kabir Hotel
589,Camopi,GF,72.05,scattered clouds,3.17,-52.32,
590,Oussouye,SN,77.0,clear sky,12.48,-16.55,Auberge du Routard
591,Rock Sound,BS,79.48,overcast clouds,24.9,-76.2,Rock Sound Club
595,Charters Towers,AU,88.21,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
596,Ankang,CN,72.1,clear sky,32.68,109.02,安琪酒店
597,Dekar,BW,76.89,few clouds,-21.53,21.93,
601,Mathathane,BW,70.88,scattered clouds,-22.27,28.75,Selepswe Resort
602,Elizabeth City,US,75.2,overcast clouds,36.29,-76.25,Hampton Inn Elizabeth City
604,Dhidhdhoo,MV,83.16,scattered clouds,6.88,73.1,Dhidhoo beach
606,Sulangan,PH,84.31,broken clouds,11.14,123.72,Maia's Beach Resort
607,Tezu,IN,84.42,clear sky,27.92,96.17,Circuit House
609,Coxim,BR,72.23,moderate rain,-18.51,-54.76,Hotel Avenida
610,Baixa Grande,BR,67.32,scattered clouds,-11.96,-40.17,Hotel Pousada Avenida
616,Basoko,CD,74.14,overcast clouds,1.24,23.62,Flat Hotel La Benediction
619,Nongpoh,IN,84.2,clear sky,25.9,91.88,PWD IB
620,Srikakulam,IN,85.23,light rain,18.3,83.9,Sriram residency
626,Ibipeba,BR,69.06,scattered clouds,-11.64,-42.01,Quitanda santos
627,Jaque,PA,76.86,overcast clouds,7.52,-78.17,cabañas de playa
634,Aguimes,ES,68.0,few clouds,27.91,-15.45,Hotel Villa de Aguimes
636,Labuhan,ID,89.13,light rain,-6.88,112.21,bador sepret
637,Brusque,BR,70.0,scattered clouds,-27.1,-48.92,Monthez Hotel e Eventos
638,Havelock,US,77.0,moderate rain,34.88,-76.9,Sherwood Motel
641,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
642,Aragarcas,BR,73.47,light rain,-15.9,-52.25,Hotel Pousada Tropical
643,Ler,SS,80.4,clear sky,8.3,30.14,
646,Benghazi,LY,67.26,few clouds,32.12,20.07,Tibesti Hotel
648,Chapada Dos Guimaraes,BR,75.2,moderate rain,-15.46,-55.75,Pousada Morro Dos Ventos
649,Paratinga,BR,71.44,scattered clouds,-12.69,-43.18,Pousada Magalhães 2
650,Xai-Xai,MZ,72.61,scattered clouds,-25.05,33.64,Platinum Hotel
651,Tshikapa,CD,74.14,light rain,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
653,Aquiraz,BR,78.8,broken clouds,-3.9,-38.39,Hotel Laguna Blu
654,Venice,US,80.01,light rain,27.1,-82.45,A Beach Retreat On Casey Key
655,Emerald,AU,90.0,clear sky,-23.53,148.17,The Irish Village
659,Tarakan,ID,83.66,scattered clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
660,Rafai,CF,75.06,scattered clouds,4.95,23.92,
663,Caninde,BR,77.11,few clouds,-4.36,-39.31,Hotel Casa Grande II
664,Itacare,BR,72.28,broken clouds,-14.28,-39.0,Ecoporan Hotel Charme Spa & Eventos
665,Lucapa,AO,68.7,overcast clouds,-8.42,20.74,Residência Ulisses Dos Santos
666,Alta Floresta,BR,70.41,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
667,Kovur,IN,85.28,light rain,14.48,79.98,Hotel Yesh Park
668,San Jose De Guanipa,VE,75.54,few clouds,8.89,-64.17,HOTEL 283 SUITES
670,Los Llanos De Aridane,ES,68.0,clear sky,28.66,-17.92,Valle Aridane
671,Bubaque,GW,82.92,light rain,11.28,-15.83,"Casa Dora, Bubaque"
673,Ibra,OM,81.21,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
674,Yenagoa,NG,75.97,few clouds,4.92,6.26,Amba Hotels Limited
675,Wahiawa,US,78.8,overcast clouds,21.5,-158.02,Aloha Wahiawa
677,Hoa Binh,VN,82.4,clear sky,20.81,105.34,Hoa Dao Hotel
